age	unit	sex	geo\time	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
TOTAL	PC_ACT	F	AT	5.9	5.6	5.3	4.4	5.1	4.6	4.6	4.8	5.3	5.4	5.3	5.6
TOTAL	PC_ACT	F	BE	9.5	9.3	8.5	7.6	8.1	8.5	7.2	7.4	8.2	7.9	7.8	7.6
TOTAL	PC_ACT	F	BG	10.0	9.4	7.4	5.8	6.7	9.6i	10.1	10.8	11.8	10.4	8.4	7.0
TOTAL	PC_ACT	F	CY	6.5	5.4	4.6	4.3	5.5	6.4	7.7	11.1	15.2	15.1	14.8	13.4
TOTAL	PC_ACT	F	CZ	9.8	8.8	6.7	5.6	7.7	8.5	7.9	8.2	8.3	7.4	6.1	4.7
TOTAL	PC_ACT	F	DE	10.9i	10.1	8.7	7.6	7.2	6.5	5.6	5.2	4.9	4.6	4.2	3.8
TOTAL	PC_ACT	F	DK	5.3	4.5i	4.2	3.7	5.3	6.5	7.5	7.5	7.3	6.8	6.4	6.6
TOTAL	PC_ACT	F	EA	10.2	9.5	8.6	8.4	9.7	10.2	10.4	11.5	12.2	11.8	11.0	10.4
TOTAL	PC_ACT	F	EA18	10.2	9.6	8.6	8.4	9.8	10.3	10.4	11.5	12.1	11.8	11.1	10.4
TOTAL	PC_ACT	F	EA19	10.2	9.5	8.5	8.3	9.8	10.3	10.4	11.5	12.1	11.8	11.0	10.4
TOTAL	PC_ACT	F	EE	6.9	5.6	3.8	5.1i	10.3	14.1	11.6	9.1	8.2	6.8	6.1	6.1
TOTAL	PC_ACT	F	EL	15.4	13.8	12.9	11.5	13.3	16.4	21.5	28.2	31.4	30.2	28.9	28.1
TOTAL	PC_ACT	F	ES	12.0	11.4	10.7	12.8	18.1	20.2	21.8	25.1	26.7	25.4	23.6	21.4
TOTAL	PC_ACT	F	EU27	9.8	9.0	7.9	7.5	8.9	9.6	9.7	10.5	10.9	10.3	9.4	8.7
TOTAL	PC_ACT	F	EU28	9.8	9.0	7.9	7.5	8.9	9.6	9.8	10.5	10.9	10.3	9.5	8.8
TOTAL	PC_ACT	F	FI	8.6	8.1	7.2	6.7	7.6	7.6	7.1	7.1	7.5	8.0	8.8	8.6
TOTAL	PC_ACT	F	FR	9.7	9.5	8.5	7.9	9.2	9.5	9.6	9.8	10.2	10.0	9.9	9.9
TOTAL	PC_ACT	F	HR	14.5	13.3i	11.4	10.4	10.8	12.4	13.8	15.8	17.2	18.0	16.7	14.2
TOTAL	PC_ACT	F	HU	7.4	7.8	7.7	8.0i	9.7	10.7	11.0	10.6	10.1	7.9	7.0	5.1
TOTAL	PC_ACT	F	IE	4.1	4.3	4.3	4.9	8.2	9.9	10.8	11.0	10.7	9.4	7.7	6.5
TOTAL	PC_ACT	F	IS	2.6	3.1	2.3	2.6	5.7	6.7	6.2	5.7	5.1	4.9	4.1	3.1
TOTAL	PC_ACT	F	IT	10.0	8.8	7.8	8.5	9.2	9.6	9.5	11.8	13.1	13.8	12.7	12.8
TOTAL	PC_ACT	F	JP	4.2	3.9	3.7	3.9	4.8	4.6	4.2b	4.0	3.7	3.4	3.1	2.8
TOTAL	PC_ACT	F	LT	8.5	5.6	4.3	5.6	10.5	14.5	12.9	11.6	10.5	9.2	8.2	6.7
TOTAL	PC_ACT	F	LU	6.1	5.9i	5.1	5.9	5.9	5.5	6.0	5.8	6.2	6.4	7.1	6.6
TOTAL	PC_ACT	F	LV	10.0	6.7	5.6	7.1	14.1	16.3	13.8	14.0	11.1	9.8	8.6	8.4
TOTAL	PC_ACT	F	MT	8.4	8.3	7.9	6.8	7.6	7.1	7.1	7.3	6.3	5.3	5.2	5.2
TOTAL	PC_ACT	F	NL	6.9	6.2	5.2	4.5	4.9	5.5	5.4	6.2	7.3	7.8	7.3	6.5
TOTAL	PC_ACT	F	NO	4.3	3.4b	2.5	2.4	2.7	3.0	3.1	2.8	3.3	3.3	4.0	4.0
TOTAL	PC_ACT	F	PL	19.4	15.1	10.3	7.9	8.6i	10.0	10.4	10.9	11.1	9.6	7.7	6.2
TOTAL	PC_ACT	F	PT	8.8	9.1	9.6	9.0	10.3	12.2	13.2	15.6	16.6	14.5	12.9	11.3
TOTAL	PC_ACT	F	RO	6.4	6.0	5.2	4.4	5.4	6.2	6.5	6.1	6.3	6.1	5.8	5.0
TOTAL	PC_ACT	F	SE	7.6	7.2	6.5	6.6	8.0	8.5	7.7	7.7	7.9	7.7	7.3	6.5
TOTAL	PC_ACT	F	SI	7.1	7.2	5.9	4.8	5.8	7.1	8.2	9.4	10.9	10.6	10.1	8.6
TOTAL	PC_ACT	F	SK	17.4	14.8	12.8	11.0	12.9	14.7	13.7i	14.5	14.5	13.6	12.9	10.8
TOTAL	PC_ACT	F	UK	4.3	4.9	5.0	5.1	6.4	6.9	7.4	7.4	7.1	5.8	5.1	4.7
TOTAL	PC_ACT	F	US	5.1	4.6	4.5	5.4	8.1	8.6	8.5	7.9	7.1	6.1	5.2	4.8
TOTAL	PC_ACT	M	AT	5.4	5.0	4.5	3.9	5.5	5.0	4.6	5.0	5.4	5.9	6.1	6.5
TOTAL	PC_ACT	M	BE	7.6	7.4	6.7	6.5	7.8	8.1	7.1	7.7	8.7	9.0	9.1	8.1
TOTAL	PC_ACT	M	BG	10.3	8.6	6.5	5.5	6.9	10.9i	12.3	13.5	13.9	12.3	9.8	8.1
TOTAL	PC_ACT	M	CY	4.4	3.9	3.4	3.2	5.3	6.2	8.1	12.6	16.6	17.1	15.1	12.7
TOTAL	PC_ACT	M	CZ	6.5	5.8	4.2	3.5	5.9	6.4	5.8	6.0	5.9	5.1	4.2	3.4
TOTAL	PC_ACT	M	DE	11.4i	10.2	8.4	7.3	8.0	7.4	6.1	5.6	5.5	5.3	5.0	4.5
TOTAL	PC_ACT	M	DK	4.4	3.3i	3.4	3.2	6.6	8.4	7.7	7.5	6.7	6.4	5.9	5.8
TOTAL	PC_ACT	M	EA	8.2	7.5	6.7	6.9	9.3	9.9	9.9	11.2	11.9	11.5	10.7	9.7
TOTAL	PC_ACT	M	EA18	8.3	7.5	6.7	7.0	9.4	10.0	9.9	11.2	11.9	11.5	10.7	9.7
TOTAL	PC_ACT	M	EA19	8.3	7.5	6.7	6.9	9.5	10.1	10.0	11.2	11.9	11.5	10.7	9.7
TOTAL	PC_ACT	M	EE	9.2	6.2	5.4	5.8i	16.7	19.3	13.1	10.9	9.1	7.9	6.2	7.4
TOTAL	PC_ACT	M	EL	6.2	5.7	5.3	5.1	7.0	10.1	15.2	21.6	24.5	23.7	21.8	19.9
TOTAL	PC_ACT	M	ES	7.1	6.4	6.4	10.1	17.7	19.6	21.1	24.6	25.6	23.6	20.8	18.1
TOTAL	PC_ACT	M	EU27	8.4	7.6	6.6	6.6	9.0	9.6	9.5	10.4	10.8	10.1	9.3	8.3
TOTAL	PC_ACT	M	EU28	8.4	7.6	6.6	6.6	9.0	9.7	9.6	10.4	10.8	10.1	9.3	8.4
TOTAL	PC_ACT	M	FI	8.2	7.4	6.5	6.1	8.9	9.1	8.4	8.3	8.8	9.3	9.9	9.0
TOTAL	PC_ACT	M	FR	8.1	8.2	7.6	7.0	9.0	9.0	8.9	9.8	10.4	10.6	10.8	10.3
TOTAL	PC_ACT	M	HR	11.8	10.3i	8.7	7.1	8.1	11.2	13.6	15.8	17.6	16.6	15.6	12.7
TOTAL	PC_ACT	M	HU	7.0	7.2	7.1	7.7i	10.3	11.6	11.1	11.3	10.2	7.6	6.6	5.1
TOTAL	PC_ACT	M	IE	4.6	4.7	5.0	7.6	15.0	17.1	17.8	17.7	15.0	12.9	10.9	9.1
TOTAL	PC_ACT	M	IS	2.6	2.7	2.3	3.3	8.6	8.3	7.8	6.4	5.7	5.1	3.9	2.9
TOTAL	PC_ACT	M	IT	6.2	5.4	4.9	5.5	6.7	7.5	7.5	9.8	11.5	11.9	11.3	10.9
TOTAL	PC_ACT	M	JP	4.6	4.3	3.9	4.1	5.2	5.4	4.9b	4.6	4.3	3.8	3.6	3.3
TOTAL	PC_ACT	M	LT	8.1	6.0	4.2	6.0	17.1	21.2	17.9	15.2	13.1	12.2	10.1	9.1
TOTAL	PC_ACT	M	LU	3.6	3.5i	3.4	4.1	4.5	3.8	3.9	4.5	5.6	5.8	5.9	6.1
TOTAL	PC_ACT	M	LV	10.1	7.3	6.5	8.4	20.9	22.7	18.6	16.2	12.6	11.8	11.1	10.9
TOTAL	PC_ACT	M	MT	6.3	6.1	5.8	5.6	6.5	6.7	6.0	5.7	6.5	6.1	5.5	4.4
TOTAL	PC_ACT	M	NL	5.0	4.1	3.3	3.0	3.9	4.5	4.6	5.5	7.2	7.2	6.5	5.6
TOTAL	PC_ACT	M	NO	4.7	3.5b	2.6	2.7	3.6	4.1	3.5	3.6	3.7	3.7	4.7	5.4
TOTAL	PC_ACT	M	PL	16.7	13.0	9.0	6.4	7.8i	9.4	9.0	9.4	9.7	8.5	7.3	6.1
TOTAL	PC_ACT	M	PT	8.7	8.6	8.7	8.6	11.0	11.9	12.6	15.9	16.3	13.8	12.4	11.1
TOTAL	PC_ACT	M	RO	7.7	8.1	7.2	6.5	7.3	7.6	7.7	7.4	7.7	7.3	7.5	6.6
TOTAL	PC_ACT	M	SE	7.7	6.9	5.9	5.9	8.6	8.7	7.8	8.2	8.2	8.2	7.5	7.3
TOTAL	PC_ACT	M	SI	6.1	4.9	4.0	4.0	5.9	7.5	8.2	8.4	9.5	9.0	8.1	7.5
TOTAL	PC_ACT	M	SK	15.6	12.4	10.0	8.4	11.5	14.3	13.7i	13.5	14.0	12.8	10.3	8.8
TOTAL	PC_ACT	M	UK	5.2	5.7	5.5	6.1	8.5	8.6	8.7	8.4	8.0	6.4	5.5	5.0
TOTAL	PC_ACT	M	US	5.1	4.6	4.7	6.1	10.3	10.5	9.4	8.2	7.6	6.3	5.4	4.9
TOTAL	PC_ACT	T	AT	5.6	5.3	4.9	4.1	5.3	4.8	4.6	4.9	5.4	5.6	5.7	6.0
TOTAL	PC_ACT	T	BE	8.5	8.3	7.5	7.0	7.9	8.3	7.2	7.6	8.4	8.5	8.5	7.8
TOTAL	PC_ACT	T	BG	10.1	9.0	6.9	5.6	6.8	10.3i	11.3	12.3	13.0	11.4	9.2	7.6
TOTAL	PC_ACT	T	CY	5.3	4.6	3.9	3.7	5.4	6.3	7.9	11.9	15.9	16.1	15.0	13.0
TOTAL	PC_ACT	T	CZ	7.9	7.1	5.3	4.4	6.7	7.3	6.7	7.0	7.0	6.1	5.1	4.0
TOTAL	PC_ACT	T	DE	11.2i	10.1	8.5	7.4	7.6	7.0	5.8	5.4	5.2	5.0	4.6	4.1
TOTAL	PC_ACT	T	DK	4.8	3.9i	3.8	3.4	6.0	7.5	7.6	7.5	7.0	6.6	6.2	6.2
TOTAL	PC_ACT	T	EA	9.0	8.4	7.5	7.6	9.5	10.0	10.1	11.3	12.0	11.6	10.9	10.0
TOTAL	PC_ACT	T	EA18	9.1	8.4	7.5	7.6	9.6	10.1	10.1	11.4	12.0	11.6	10.9	10.0
TOTAL	PC_ACT	T	EA19	9.1	8.4	7.5	7.6	9.6	10.2	10.2	11.4	12.0	11.6	10.9	10.0
TOTAL	PC_ACT	T	EE	8.0	5.9	4.6	5.5i	13.5	16.7	12.3	10.0	8.6	7.4	6.2	6.8
TOTAL	PC_ACT	T	EL	10.0	9.0	8.4	7.8	9.6	12.7	17.9	24.5	27.5	26.5	24.9	23.6
TOTAL	PC_ACT	T	ES	9.2	8.5	8.2	11.3	17.9	19.9	21.4	24.8	26.1	24.5	22.1	19.6
TOTAL	PC_ACT	T	EU27	9.0	8.2	7.2	7.0	9.0	9.6	9.6	10.4	10.8	10.2	9.4	8.5
TOTAL	PC_ACT	T	EU28	9.0	8.2	7.2	7.0	9.0	9.6	9.7	10.5	10.9	10.2	9.4	8.6
TOTAL	PC_ACT	T	FI	8.4	7.7	6.9	6.4	8.2	8.4	7.8	7.7	8.2	8.7	9.4	8.8
TOTAL	PC_ACT	T	FR	8.9	8.8	8.0	7.4	9.1	9.3	9.2	9.8	10.3	10.3	10.4	10.1
TOTAL	PC_ACT	T	HR	13.0	11.6i	9.9	8.6	9.3	11.8	13.7	15.8	17.4	17.2	16.1	13.4
TOTAL	PC_ACT	T	HU	7.2	7.5	7.4	7.8i	10.0	11.2	11.0	11.0	10.2	7.7	6.8	5.1
TOTAL	PC_ACT	T	IE	4.4	4.5	4.7	6.4	12.0	13.9	14.7	14.7	13.1	11.3	9.4	7.9
TOTAL	PC_ACT	T	IS	2.6	2.9	2.3	3.0	7.2	7.6	7.1	6.0	5.4	5.0	4.0	3.0
TOTAL	PC_ACT	T	IT	7.7	6.8	6.1	6.7	7.7	8.4	8.4	10.7	12.1	12.7	11.9	11.7
TOTAL	PC_ACT	T	JP	4.4	4.1	3.8	4.0	5.1	5.0	4.6b	4.3	4.0	3.6	3.4	3.1
TOTAL	PC_ACT	T	LT	8.3	5.8	4.3	5.8	13.8	17.8	15.4	13.4	11.8	10.7	9.1	7.9
TOTAL	PC_ACT	T	LU	4.6	4.6i	4.2	4.9	5.1	4.6	4.8	5.1	5.9	6.0	6.5	6.3
TOTAL	PC_ACT	T	LV	10.0	7.0	6.1	7.7	17.5	19.5	16.2	15.0	11.9	10.8	9.9	9.6
TOTAL	PC_ACT	T	MT	6.9	6.8	6.5	6.0	6.9	6.9	6.4	6.3	6.4	5.8	5.4	4.7
TOTAL	PC_ACT	T	NL	5.9	5.0	4.2	3.7	4.4	5.0	5.0	5.8	7.3	7.4	6.9	6.0
TOTAL	PC_ACT	T	NO	4.5	3.4b	2.5	2.5	3.2	3.6	3.3	3.2	3.5	3.5	4.4	4.7
TOTAL	PC_ACT	T	PL	17.9	13.9	9.6	7.1	8.1i	9.7	9.7	10.1	10.3	9.0	7.5	6.2
TOTAL	PC_ACT	T	PT	8.8	8.9	9.1	8.8	10.7	12.0	12.9	15.8	16.4	14.1	12.6	11.2
TOTAL	PC_ACT	T	RO	7.1	7.2	6.4	5.6	6.5	7.0	7.2	6.8	7.1	6.8	6.8	5.9
TOTAL	PC_ACT	T	SE	7.7	7.1	6.1	6.2	8.3	8.6	7.8	8.0	8.0	7.9	7.4	6.9
TOTAL	PC_ACT	T	SI	6.5	6.0	4.9	4.4	5.9	7.3	8.2	8.9	10.1	9.7	9.0	8.0
TOTAL	PC_ACT	T	SK	16.4	13.5	11.2	9.6	12.1	14.5	13.7i	14.0	14.2	13.2	11.5	9.7
TOTAL	PC_ACT	T	TR	9.5	9.0	9.1b	10.0	13.0	11.1	9.1	8.4	9.0	9.9	10.3	10.9
TOTAL	PC_ACT	T	UK	4.8	5.4	5.3	5.6	7.6	7.8	8.1	7.9	7.5	6.1	5.3	4.8
TOTAL	PC_ACT	T	US	5.1	4.6	4.6	5.8	9.3	9.6	8.9	8.1	7.4	6.2	5.3	4.9
